round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces,checkmate_target
54,blue,Bf13+,25,38,38,42,Bk8-f13+,k8,f13,Bishop,0,32,22,3,2,9,9,4,3,
54,yellow,Kh13,25,38,38,42,Kg14-h13,g14,h13,King,0,32,22,3,2,9,9,4,3,
54,green,g5=Q,25,38,38,42,h5-g5=D,h5,g5,Queen,0,32,22,3,10,9,9,4,3,
55,red,,25,38,38,42,,,,Pawn,0,32,22,3,10,9,9,4,3,
55,blue,Qf8+,25,38,38,42,Qf10-f8+,f10,f8,Queen,0,32,22,3,10,9,9,4,3,
55,yellow,k11,25,38,38,42,k13-k11,k13,k11,Pawn,0,32,22,3,10,9,9,4,3,
55,green,Qg7,25,38,38,42,Qg5-g7,g5,g7,Queen,0,32,22,3,10,9,9,4,3,
56,red,,25,38,38,42,,,,Pawn,0,32,22,3,10,9,9,4,3,
56,blue,Qxg7+,25,38,38,42,Qf8xQg7+,f8,g7,Queen,1,32,22,3,1,9,9,4,2,
56,yellow,k10,25,39,38,42,k11-k10,k11,k10,Pawn,0,32,22,3,1,9,9,4,2,
56,green,Ki6,25,39,38,42,Kh6-i6,h6,i6,King,0,32,22,3,1,9,9,4,2,
57,red,,25,39,38,42,,,,Pawn,0,32,22,3,1,9,9,4,2,
57,blue,Qm7,25,39,38,42,Qg7-m7,g7,m7,Queen,0,32,22,3,1,9,9,4,2,
57,yellow,i11,25,39,38,42,i12-i11,i12,i11,Pawn,0,32,22,3,1,9,9,4,2,
57,green,k6,25,39,38,42,m6-k6,m6,k6,Pawn,0,32,22,3,1,9,9,4,2,
58,red,,25,39,38,42,,,,Pawn,0,32,22,3,1,9,9,4,2,
58,blue,Qxi11+,25,39,38,42,Qm7xi11+,m7,i11,Queen,1,32,22,2,1,9,9,3,2,
58,yellow,k9,25,40,38,42,k10-k9,k10,k9,Pawn,0,32,22,2,1,9,9,3,2,
58,green,Kj6,25,40,38,42,Ki6-j6,i6,j6,King,0,32,22,2,1,9,9,3,2,
59,red,,25,40,38,42,,,,Pawn,0,32,22,2,1,9,9,3,2,
59,blue,Qxk9,25,40,38,42,Qi11xk9,i11,k9,Queen,1,32,22,1,1,9,9,2,2,
59,yellow,d11,25,41,38,42,d13-d11,d13,d11,Pawn,0,32,22,1,1,9,9,2,2,
59,green,Kj7,25,41,38,42,Kj6-j7,j6,j7,King,0,32,22,1,1,9,9,2,2,
60,red,,25,41,38,42,,,,Pawn,0,32,22,1,1,9,9,2,2,
60,blue,Kxd11,25,41,38,42,Kd10xd11,d10,d11,King,1,32,22,0,1,9,9,1,2,
60,yellow,R Ki14,25,42,38,42,Kh13-i14R,h13,i14,King,0,32,22,0,1,9,9,1,2,
60,green,j6,25,42,38,42,k6-j6,k6,j6,Pawn,0,32,22,0,1,9,9,1,2,
61,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
61,blue,Bg12+,25,42,38,42,Bf13-g12+,f13,g12,Bishop,0,32,22,0,1,9,9,1,2,
61,yellow,Kj14,25,42,38,42,Ki14-j14,i14,j14,King,0,32,22,0,1,9,9,1,2,
61,green,i6,25,42,38,42,j6-i6,j6,i6,Pawn,0,32,22,0,1,9,9,1,2,
62,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
62,blue,Qi9,25,42,38,42,Qk9-i9,k9,i9,Queen,0,32,22,0,1,9,9,1,2,
62,yellow,Kk14,25,42,38,42,Kj14-k14,j14,k14,King,0,32,22,0,1,9,9,1,2,
62,green,h6,25,42,38,42,i6-h6,i6,h6,Pawn,0,32,22,0,1,9,9,1,2,
63,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
63,blue,Qf6,25,42,38,42,Qi9-f6,i9,f6,Queen,0,32,22,0,1,9,9,1,2,
63,yellow,Kj14,25,42,38,42,Kk14-j14,k14,j14,King,0,32,22,0,1,9,9,1,2,
63,green,Ki6,25,42,38,42,Kj7-i6,j7,i6,King,0,32,22,0,1,9,9,1,2,
64,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
64,blue,Bj9,25,42,38,42,Bg12-j9,g12,j9,Bishop,0,32,22,0,1,9,9,1,2,
64,yellow,Ki14,25,42,38,42,Kj14-i14,j14,i14,King,0,32,22,0,1,9,9,1,2,
64,green,Kh5,25,42,38,42,Ki6-h5,i6,h5,King,0,32,22,0,1,9,9,1,2,
65,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
65,blue,Qg6+,25,42,38,42,Qf6-g6+,f6,g6,Queen,0,32,22,0,1,9,9,1,2,
65,yellow,Kh13,25,42,38,42,Ki14-h13,i14,h13,King,0,32,22,0,1,9,9,1,2,
65,green,Ki6,25,42,38,42,Kh5-i6,h5,i6,King,0,32,22,0,1,9,9,1,2,
66,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
66,blue,Qh7++,25,42,38,42,Qg6-h7++,g6,h7,Queen,0,32,22,0,1,9,9,1,2,
66,yellow,Kg14,25,42,38,42,Kh13-g14,h13,g14,King,0,32,22,0,1,9,9,1,2,
66,green,Kh5,25,42,38,42,Ki6-h5,i6,h5,King,0,32,22,0,1,9,9,1,2,
67,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
67,blue,e7,25,42,38,42,d7-e7,d7,e7,Pawn,0,32,22,0,1,9,9,1,2,
67,yellow,Kg13,25,42,38,42,Kg14-g13,g14,g13,King,0,32,22,0,1,9,9,1,2,
67,green,Kg5,25,42,38,42,Kh5-g5,h5,g5,King,0,32,22,0,1,9,9,1,2,
68,red,,25,42,38,42,,,,Pawn,0,32,22,0,1,9,9,1,2,
68,blue,f7,25,42,38,42,e7-f7,e7,f7,Pawn,0,32,22,0,1,9,9,1,2,
68,yellow,Kg14,25,42,38,42,Kg13-g14,g13,g14,King,0,32,22,0,1,9,9,1,2,
68,green,g6=Q+,25,42,38,42,h6-g6=D+,h6,g6,Queen,0,32,22,0,9,9,9,1,2,
69,red,,25,42,38,42,,,,Pawn,0,32,22,0,9,9,9,1,2,
69,blue,7xg6,25,42,38,42,f7xQg6,f7,g6,Pawn,1,32,22,0,0,9,9,1,1,
69,yellow,Kf14,25,43,38,42,Kg14-f14,g14,f14,King,0,32,22,0,0,9,9,1,1,
69,green,Kg4,25,43,38,42,Kg5-g4,g5,g4,King,0,32,22,0,0,9,9,1,1,
70,red,,25,43,38,42,,,,Pawn,0,32,22,0,0,9,9,1,1,
70,blue,Qi6+,25,43,38,42,Qh7-i6+,h7,i6,Queen,0,32,22,0,0,9,9,1,1,
70,yellow,Kg13,25,43,38,42,Kf14-g13,f14,g13,King,0,32,22,0,0,9,9,1,1,
70,green,Kf5,25,43,38,42,Kg4-f5,g4,f5,King,0,32,22,0,0,9,9,1,1,
71,red,,25,43,38,42,,,,Pawn,0,32,22,0,0,9,9,1,1,
71,blue,h6=Q+#,25,43,38,42,g6-h6=D+#,g6,h6,Queen,0,32,30,0,0,9,9,1,1,green
71,yellow,,25,83,38,42,,,,Pawn,0,32,30,0,0,9,9,1,1,
71,green,,25,83,38,42,,,,Pawn,0,32,30,0,0,9,9,1,1,
